city,area,rooms,bathroom,parking_spaces,floor,animal_allowance,furniture,association_tax,rent_amount,property_tax,fire_insurance,total_rent
Bangalore,Devanahalli,2,2,0,15,not acept,not furnished,1770,4650,456,60,6936
Bangalore,Frazer Town,3,2,2,-,acept,not furnished,0,22500,3000,339,25839
Bangalore,Varthur,1,1,0,3,acept,not furnished,1650,6300,0,81,8031
Bangalore,Raja Rajeshwari Nagar,1,1,0,15,acept,not furnished,900,4500,0,60,5460
Bangalore,Malleshwaram,2,2,1,11,acept,not furnished,2760,11970,0,153,14883
Bangalore,Old Madras Road,3,4,2,11,acept,not furnished,9474,45000,3300,573,58350
Bangalore,7th Phase JP Nagar,2,1,1,6,not acept,not furnished,720,4410,90,57,5277
Bangalore,Budigere,1,2,1,5,acept,not furnished,3120,18000,687,231,22038
Bangalore,Rachenahalli,2,1,0,9,acept,furnished,1191,5340,0,69,6600
Bangalore,Basavangudi,3,2,2,11,acept,not furnished,1956,3870,270,51,6147
Bangalore,Electronics City Phase 1,3,3,2,-,acept,not furnished,0,7500,21,114,7635
Chennai,Veppampatttu,1,1,2,-,acept,not furnished,0,4350,15,66,4431
Chennai,Sithalapakkam,4,4,8,-,acept,not furnished,0,15300,960,231,16491
Chennai,West Tambaram,1,1,1,2,acept,not furnished,2070,7800,393,99,10362
Bangalore,Begur Road,6,2,2,-,acept,not furnished,0,10800,375,165,11340
Bangalore,Somasundara Palya,1,1,0,6,acept,furnished,1290,6900,0,90,8280
Bangalore,Choodasandra,3,2,1,7,not acept,not furnished,6000,22800,714,291,29805
Bangalore,5th Block Hbr Layout,3,3,0,6,acept,not furnished,6168,7200,600,93,14061
Bangalore,Varthur,3,2,1,4,acept,not furnished,1200,3900,225,51,5376
Bangalore,Kanakpura Road,2,1,0,15,acept,furnished,2970,7500,150,96,10716
Bangalore,Ambedkar Colony,4,5,5,21,not acept,furnished,17100,45000,8931,573,71610
Chennai,Kilkattalai,5,7,4,17,acept,not furnished,16143,30000,3300,381,49830
Bangalore,Yelahanka,1,1,1,8,not acept,not furnished,1320,8400,300,108,10128
Bangalore,1st Block Jayanagar,3,2,2,20,acept,furnished,3600,13500,1251,174,18525
Bangalore,Maruthi Sevanagar,4,5,4,13,acept,furnished,8400,45000,4320,573,58290
Bangalore,Koramangala,1,1,1,4,acept,not furnished,1899,10200,342,132,12573
Bangalore,Mahadevpura,1,1,1,5,acept,furnished,900,5100,150,66,6216
Bangalore,1st Phase JP Nagar,3,2,2,-,acept,not furnished,0,4800,0,75,4875
Bangalore,Sonnenahalli,2,2,3,3,acept,not furnished,7500,14400,3375,183,25458
Bangalore,Kengeri,4,2,3,1,acept,not furnished,10800,15000,4653,192,30660
Bangalore,8th Phase JP Nagar,2,1,1,7,acept,not furnished,1470,4974,111,66,6621
Bangalore,Thyagaraja Nagar,4,5,3,3,acept,not furnished,0,45000,0,573,45570
Bangalore,Haralur Road,4,3,2,13,acept,not furnished,3600,11400,660,147,15807
Bangalore,Gottigere,2,1,1,8,acept,furnished,1050,5400,150,69,6669
Bangalore,Kanakpura Road,1,1,1,7,not acept,not furnished,3111,6069,0,78,9258
Bangalore,Hulimavu,1,1,1,7,not acept,furnished,1740,9000,24,117,10881
Bangalore,KR Puram,3,1,1,7,acept,furnished,1800,5400,363,69,7632
Bangalore,Raja Rajeshwari Nagar,1,1,0,3,not acept,not furnished,450,2550,0,33,3033
Bangalore,Marathahalli,2,3,2,-,acept,furnished,0,9600,0,147,9747
Bangalore,Jigani,3,3,5,-,acept,furnished,0,45000,3375,678,49050
Bangalore,HSR Layout,1,1,0,8,not acept,not furnished,1440,3660,75,48,5223
Chennai,Sholinganallur,2,1,1,-,acept,not furnished,0,3900,540,60,4500
Bangalore,Chikkabanavar,2,3,2,5,not acept,not furnished,6195,29400,1500,375,37470
Chennai,Navallur,3,2,2,8,acept,not furnished,2100,6000,435,78,8613
Bangalore,Bhoganhalli,2,1,1,4,acept,not furnished,4500,6297,750,81,11628
Bangalore,Sector 2 HSR Layout,1,1,1,10,not acept,furnished,4500,9150,600,117,14367
Bangalore,Laggere,3,3,2,-,acept,furnished,0,22500,1950,339,24789
Bangalore,7th Phase JP Nagar,1,1,0,12,not acept,not furnished,1239,10200,243,132,11814
Bangalore,Bommenahalli,3,5,3,12,acept,furnished,7500,21000,2250,267,31020
Chennai,Kelambakkam,2,1,1,1,acept,not furnished,1050,4191,240,54,5535
Bangalore,Mallasandra,3,4,2,8,acept,furnished,5400,33000,1776,420,40590
Bangalore,Rachenahalli,2,1,1,1,acept,furnished,1500,7140,360,93,9093
Bangalore,Electronic City,3,1,1,10,acept,not furnished,2100,4200,0,54,6354
Bangalore,Thanisandra,3,2,6,-,acept,not furnished,0,6900,528,105,7533
Bangalore,Hulimavu,1,1,0,7,acept,not furnished,600,4950,0,63,5613
Chennai,Ambattur,3,3,2,-,acept,not furnished,1680,9600,264,147,11691
Bangalore,Channasandra,3,2,2,-,not acept,not furnished,450,6600,594,102,7746
Bangalore,Vasanth nagar,4,6,5,-,acept,not furnished,0,19650,5100,297,25047
Bangalore,HBR Layout,2,3,3,15,acept,not furnished,4500,27000,1680,345,33540
Bangalore,Yeshwanthpur,4,3,3,-,acept,not furnished,0,21000,2700,318,24018
Chennai,Kelambakkam,1,1,1,2,acept,not furnished,1089,2100,135,27,3351
Bangalore,Rajaji Nagar,3,2,2,4,acept,furnished,2400,10500,0,135,13035
Bangalore,KR Puram,1,1,1,2,acept,furnished,5850,15000,1125,192,22167
Bangalore,Margondanahalli,2,2,2,15,acept,not furnished,1740,7500,348,96,9684
Bangalore,Hennur,1,1,1,4,not acept,not furnished,1458,9600,0,39,11097
Bangalore,BTM 2nd Stage,2,3,4,1,not acept,not furnished,9435,7500,2709,96,19740
Bangalore,HOSUR MAIN ROAD,4,5,3,5,acept,not furnished,6300,7800,1737,99,15936
Chennai,Sholinganallur,2,1,0,1,acept,not furnished,1371,3402,165,45,4983
Bangalore,Marathahalli,3,3,2,-,acept,not furnished,0,31500,2304,474,34290
Bangalore,Electronic City Phase II,1,1,1,5,acept,furnished,1500,11700,252,150,13602
Bangalore,Sarjapur  Road,2,2,1,3,acept,not furnished,3300,8550,537,111,12498
Chennai,Sithalapakkam,3,3,3,6,acept,not furnished,9600,13500,1602,174,24876
Bangalore,Haralur Road,3,4,0,4,acept,not furnished,3600,17700,1425,225,22950
Bangalore,Raja Rajeshwari Nagar,1,1,0,-,acept,not furnished,0,3300,90,42,3432
Bangalore,Electronic City Phase II,1,1,1,4,not acept,furnished,5361,3600,432,48,9441
Bangalore,Singasandra,1,1,1,6,acept,furnished,1569,12000,393,153,14115
Chennai,Avadi,2,1,1,-,acept,not furnished,750,3600,120,48,4518
Bangalore,Bellandur,4,3,2,11,acept,furnished,5640,27000,1380,345,34380
Bangalore,Amruthahalli,3,4,2,8,acept,not furnished,5400,9000,1800,117,16317
Bangalore,8th Phase JP Nagar,2,1,1,9,not acept,not furnished,1050,4740,0,63,5853
Bangalore,Hennur Road,2,1,1,-,not acept,not furnished,0,4350,102,66,4518
Bangalore,Sarjapur  Road,1,1,2,9,acept,furnished,6450,21000,1626,267,29343
Bangalore,Mahalakshmi Layout,4,6,4,3,not acept,furnished,10500,45000,1032,573,57120
Bangalore,7th Phase JP Nagar,1,1,1,3,acept,furnished,6000,14550,1002,186,21738
Bangalore,Richards Town,3,4,5,-,acept,furnished,2250,10200,702,132,13284
Bangalore,Jalahalli,2,1,1,24,not acept,not furnished,1776,5451,252,72,7551
Bangalore,Electronics City Phase 1,4,5,2,22,acept,furnished,3600,20400,1500,261,25761
Bangalore,Brookefield,1,1,1,14,not acept,furnished,3900,15045,555,192,19692
Bangalore,Malleshwaram,2,2,1,1,acept,not furnished,0,5280,90,69,5439
Bangalore,Rajaji Nagar,3,1,1,-,acept,not furnished,0,16800,0,255,17055
Bangalore,Hennur Road,3,2,1,13,not acept,not furnished,3300,8400,75,108,11883
Bangalore,Old Madras Road,2,2,3,17,acept,not furnished,6600,25950,0,330,32880
Bangalore,Kammasandra,3,2,2,18,not acept,not furnished,2970,4830,0,63,7863
Bangalore,CV Raman Nagar,5,4,2,7,acept,not furnished,660000,36000,3000,459,699600
Bangalore,Rachenahalli,2,1,1,3,acept,not furnished,300,3600,0,48,3948
Bangalore,Varthur,2,1,1,7,acept,not furnished,1350,5400,375,69,7194
Bangalore,Begur,3,5,4,3,acept,furnished,6900,30000,3654,381,40950
Bangalore,Kasavanhalli,2,3,3,-,acept,not furnished,0,6600,24,102,6726
Bangalore,Rajaji Nagar,3,2,0,18,acept,furnished,4158,13500,1722,174,19554
Bangalore,BTM 2nd Stage,3,4,4,18,acept,not furnished,7950,30000,375,381,38700
Bangalore,Kanakapura,4,5,4,8,acept,not furnished,10500,5100,4251,66,19917
Bangalore,Ramagondanahalli,2,1,1,-,acept,not furnished,0,5100,246,78,5424
Bangalore,Yelahanka New Town,2,1,1,1,not acept,not furnished,1680,4170,0,54,5904
Bangalore,Koramangala,2,1,0,2,acept,not furnished,300,4050,0,54,4404
Bangalore,Hennur Road,3,2,3,1,acept,not furnished,3054,4500,603,60,8217
Bangalore,Harlur,4,4,3,1,acept,not furnished,8400,12600,2376,162,23538
Chennai,Navallur,2,3,2,5,not acept,not furnished,3780,12600,825,162,17367
Bangalore,Sanjay nagar,1,1,0,-,not acept,not furnished,0,2505,0,39,2544
Bangalore,Bannerghatta Road,4,3,3,16,acept,not furnished,4260,18480,1170,237,24147
Bangalore,Shivaji Nagar,3,5,0,11,acept,furnished,6000,43500,2925,552,52980
Chennai,Pattabiram,3,1,1,6,acept,not furnished,1695,6000,180,78,7953
Bangalore,Kammasandra,3,2,2,5,acept,not furnished,2700,10950,450,48,14148
Bangalore,Bannerghatta Road,3,2,2,-,acept,not furnished,0,9330,333,141,9804
Bangalore,Kogilu,1,1,0,3,acept,not furnished,600,10500,3,135,11238
Bangalore,Chandapura,2,1,2,7,acept,not furnished,2940,5400,501,69,8910
Bangalore,Ramagondanahalli,2,1,1,1,acept,not furnished,1290,2850,96,39,4275
Bangalore,Begur Road,4,2,2,9,acept,not furnished,7500,15000,2076,192,24768
Bangalore,Jigani,4,4,8,12,acept,furnished,15000,45000,15600,573,76170
Chennai,Thirumullaivoyal,4,3,4,-,acept,not furnished,6921,9300,1023,141,17385
Bangalore,Bommasandra,3,4,3,1,not acept,not furnished,3600,18000,2250,231,24081
Chennai,Palavakkam,3,4,4,-,acept,not furnished,10920,24000,1602,363,36900
Bangalore,Kanakpura Road,1,1,0,-,acept,furnished,0,12300,1200,186,13686
Bangalore,Gubbalala,2,1,1,3,not acept,not furnished,810,4200,1251,54,6315
Bangalore,Kengeri,3,3,1,3,acept,not furnished,4740,17400,1767,222,24129
Bangalore,Vijayanagar,2,1,1,11,acept,not furnished,2493,7866,225,102,10686
Bangalore,Rachenahalli,2,2,1,18,acept,not furnished,951,5349,0,69,6369
Bangalore,Magadi Road,4,3,3,11,acept,not furnished,10500,24000,0,306,34800
Bangalore,7th Phase JP Nagar,2,1,1,2,acept,not furnished,840,4950,87,63,5940
Bangalore,Brookefield,1,1,1,-,not acept,not furnished,0,4200,51,66,4317
Bangalore,Ramamurthy Nagar,3,1,1,8,not acept,not furnished,2511,6600,210,84,9405
Bangalore,Begur Road,4,4,4,10,acept,not furnished,6600,16500,2496,210,25806
Bangalore,Hoskote,4,4,3,17,acept,not furnished,7800,19500,3471,249,31020
Bangalore,Kaggadasapura,1,1,0,9,acept,furnished,3870,4500,552,60,8982
Bangalore,Hennur Road,2,1,0,-,acept,not furnished,0,7200,510,111,7821
Bangalore,Nagasandra,3,5,8,-,acept,not furnished,0,24000,6750,363,31110
Bangalore,Sarjapur  Road,2,1,1,-,acept,not furnished,0,3300,231,51,3582
Bangalore,Kengeri,3,4,4,6,not acept,not furnished,10050,34500,3750,438,48750
Bangalore,OMBR Layout,3,4,4,17,acept,furnished,7200,43500,2730,552,53970
Bangalore,JP Nagar,3,4,2,3,not acept,not furnished,12000,18000,3177,231,33420
Bangalore,Kanakpura Road,1,1,0,-,acept,not furnished,0,3900,765,60,4725
Bangalore,Basaveshwara Nagar Yelahanka,4,4,3,16,acept,furnished,6411,45000,2502,573,54480
Bangalore,NGR Layout,2,2,1,14,not acept,not furnished,4200,10500,525,135,15360
Bangalore,Raja Rajeshwari Nagar,1,1,0,1,not acept,not furnished,750,3915,0,51,4716
Bangalore,Hebbal,4,5,3,2,acept,not furnished,5100,7650,1002,99,13851
Bangalore,TC Palaya,1,1,1,12,acept,furnished,1695,9600,369,123,11787
Bangalore,Sarjapur  Road,3,2,1,3,acept,not furnished,3261,11100,114,141,14616
Bangalore,Chikka Tirupathi,3,4,2,2,acept,not furnished,5808,18000,1170,231,25209
Bangalore,Jigani,5,7,5,22,acept,not furnished,16500,42000,6252,534,65280
Chennai,Veppampatttu,3,1,1,6,acept,not furnished,1647,3600,0,48,5295
Bangalore,Nagavara,1,3,2,19,not acept,furnished,2700,12426,0,159,15285
Bangalore,Ananth Nagar,2,1,0,-,acept,not furnished,0,5400,375,84,5859
Bangalore,Marathahalli,4,4,2,-,acept,not furnished,0,25500,801,384,26685
Bangalore,Yelahanka New Town,1,2,1,11,acept,not furnished,2220,9600,450,123,12393
Bangalore,Rachenahalli,2,1,0,13,acept,not furnished,1167,4440,156,57,5820
Bangalore,Electronics City Phase 1,3,3,3,9,acept,furnished,7200,30000,1752,381,39330
Chennai,East Tambaram,1,1,1,5,acept,not furnished,2190,8400,456,108,11154
Bangalore,Kengeri,3,4,4,6,acept,not furnished,6300,15000,0,192,21492
Bangalore,Electronic City,3,2,2,6,not acept,not furnished,3600,6000,0,78,9678
Bangalore,Talaghattapura,2,2,1,12,acept,not furnished,3939,26100,1029,333,31410
Bangalore,Vijayanagar,2,1,1,8,acept,not furnished,1140,3810,93,51,5094
Bangalore,Kadabagere,3,5,4,15,acept,not furnished,15900,30000,0,381,46290
Chennai,Guduvancheri,2,1,1,3,acept,not furnished,900,3510,0,45,4455
Bangalore,Kasavanhalli,2,2,0,-,not acept,furnished,0,10500,102,159,10761
Bangalore,Cooke Town,4,4,6,5,acept,not furnished,7350,8160,2877,105,18492
Bangalore,Akshaya Nagar,3,4,4,-,acept,not furnished,0,24000,2856,363,27219
Bangalore,Ramamurthy Nagar,3,1,1,1,not acept,not furnished,1425,5400,0,69,6894
Bangalore,Kundalahalli,1,1,1,3,not acept,furnished,1440,6450,0,84,7974
Bangalore,Chandapura,3,2,0,2,acept,furnished,3000,9600,735,123,13458
Chennai,Kolathur,3,2,3,-,acept,not furnished,0,6600,0,102,6702
Bangalore,Hoodi,3,3,1,1,acept,not furnished,3432,4080,768,54,8334
Bangalore,Electronic City Phase II,1,1,1,14,not acept,furnished,1380,10500,300,135,12315
Bangalore,Hebbal,3,4,4,-,acept,furnished,0,12600,0,192,12792
Bangalore,Bellandur,3,4,3,15,acept,furnished,4323,19200,2070,246,25839
Bangalore,KUDLU MAIN ROAD,3,3,2,-,acept,not furnished,0,5400,900,84,6384
Bangalore,Electronic City Phase II,1,1,0,1,not acept,not furnished,0,4377,0,30,4407
Bangalore,Hoskote,4,3,0,3,acept,furnished,1320,15300,0,195,16815
Bangalore,KR Puram,2,2,1,11,acept,not furnished,2010,7500,597,96,10203
Bangalore,Sarjapur  Road,2,1,1,11,not acept,furnished,1500,5400,15,69,6984
Bangalore,Bannerghatta Road,3,1,0,2,acept,not furnished,600,6300,501,81,7482
Bangalore,Shree Ananth Nagar Layout,3,5,6,21,acept,not furnished,6000,11856,1377,153,19386
Bangalore,Hegde Nagar,2,1,1,8,not acept,not furnished,2385,7500,477,96,10458
Chennai,Porur,3,1,2,3,acept,not furnished,1797,3900,222,51,5970
Chennai,Nandambakkam,3,3,2,-,acept,not furnished,2880,16500,45,249,19674
Bangalore,Kurubarahalli,4,4,3,19,acept,furnished,9300,30000,4002,381,43680
Bangalore,Doddabommasandra,4,5,4,3,acept,furnished,12795,37500,4800,477,55560
Bangalore,Kengeri,3,4,4,12,not acept,not furnished,6600,19500,2250,249,28599
Bangalore,Badavala Nagar,4,4,3,-,acept,furnished,0,36000,5064,543,41610
Bangalore,Hosur Road,3,2,1,5,acept,furnished,4560,7200,0,93,11853
Chennai,Gerugambakkam,4,5,3,6,acept,furnished,3759,10737,654,138,15288
Bangalore,Varthur,1,1,0,8,acept,not furnished,2010,8376,114,108,10608
Bangalore,Thanisandra,3,4,3,19,acept,furnished,6741,25500,3000,99,35340
Bangalore,Kalyan nagar,1,1,0,2,not acept,not furnished,1500,4260,0,54,5814
Bangalore,Mallasandra,3,5,2,8,acept,not furnished,3300,19800,1272,252,24624
Bangalore,Uttarahalli,3,3,1,11,not acept,not furnished,2802,5100,75,66,8043
Bangalore,Vidyaranyapura,4,3,0,-,acept,not furnished,0,29400,2250,444,32100
Bangalore,Konanakunte,4,5,6,14,acept,not furnished,8580,36000,2751,459,47790
Chennai,Madhavaram,1,1,0,6,acept,not furnished,1209,1500,45,21,2775
Bangalore,Sompura,3,3,3,8,acept,furnished,4596,7650,1251,99,13596
Bangalore,Hoskote,3,2,0,9,acept,not furnished,4470,12300,690,156,17616
Chennai,Pallavaram,2,1,1,4,acept,furnished,930,5400,102,69,6501
Chennai,Padur,2,2,0,6,not acept,not furnished,2430,2754,294,36,5514
Chennai,Koyambedu,2,2,2,7,acept,furnished,3300,12600,630,162,16692
Bangalore,Thigalarapalya,3,4,0,-,acept,furnished,0,12600,525,192,13317
Chennai,Perungalathur,4,2,1,-,acept,not furnished,0,4500,0,69,4569
Bangalore,NRI Layout,4,4,2,11,acept,not furnished,4200,13500,951,174,18825
Bangalore,Hennur,1,1,1,5,acept,not furnished,1290,5280,63,69,6702
Chennai,Thoraipakkam,3,4,2,9,acept,not furnished,3600,10200,0,132,13932
Bangalore,Yelahanka,1,1,0,-,acept,not furnished,0,6000,159,93,6252
Chennai,Thoraipakkam,1,2,0,-,acept,not furnished,0,3600,0,57,3657
Bangalore,Hebbal,4,5,3,-,acept,not furnished,0,15000,1695,228,16923
Bangalore,Panathur,2,2,0,17,acept,furnished,1680,18000,750,129,20559
Bangalore,2nd Stage Nagarbhavi,4,2,2,-,acept,not furnished,0,9300,390,141,9831
