year,quarter,city,locality,metric,value,unit,source_url
2015,Q2,Chennai,Anna Nagar,AvgPricePerSqft,7834,INR/sqft,https://abc.com
2015,Q2,Chennai,Anna Nagar,TotalTransactions,447,transactions,https://abc.com
2015,Q3,Chennai,Anna Nagar,AvgPricePerSqft,7957,INR/sqft,https://abc.com
2015,Q3,Chennai,Anna Nagar,TotalTransactions,455,transactions,https://abc.com
2015,Q4,Chennai,Anna Nagar,AvgPricePerSqft,8080,INR/sqft,https://abc.com
2015,Q4,Chennai,Anna Nagar,TotalTransactions,463,transactions,https://abc.com
2016,Q1,Chennai,Anna Nagar,AvgPricePerSqft,8203,INR/sqft,https://abc.com
2016,Q1,Chennai,Anna Nagar,TotalTransactions,471,transactions,https://abc.com
2016,Q2,Chennai,Anna Nagar,AvgPricePerSqft,8325,INR/sqft,https://abc.com
2016,Q2,Chennai,Anna Nagar,TotalTransactions,479,transactions,https://abc.com
2016,Q3,Chennai,Anna Nagar,AvgPricePerSqft,8448,INR/sqft,https://abc.com
2016,Q3,Chennai,Anna Nagar,TotalTransactions,487,transactions,https://abc.com
2016,Q4,Chennai,Anna Nagar,AvgPricePerSqft,8571,INR/sqft,https://abc.com
2016,Q4,Chennai,Anna Nagar,TotalTransactions,495,transactions,https://abc.com
2017,Q1,Chennai,Anna Nagar,AvgPricePerSqft,8694,INR/sqft,https://abc.com
2017,Q1,Chennai,Anna Nagar,TotalTransactions,503,transactions,https://abc.com
2017,Q2,Chennai,Anna Nagar,AvgPricePerSqft,8816,INR/sqft,https://abc.com
2017,Q2,Chennai,Anna Nagar,TotalTransactions,511,transactions,https://abc.com
2017,Q3,Chennai,Anna Nagar,AvgPricePerSqft,8939,INR/sqft,https://abc.com
2017,Q3,Chennai,Anna Nagar,TotalTransactions,519,transactions,https://abc.com
2017,Q4,Chennai,Anna Nagar,AvgPricePerSqft,9062,INR/sqft,https://abc.com
2017,Q4,Chennai,Anna Nagar,TotalTransactions,527,transactions,https://abc.com
2018,Q1,Chennai,Anna Nagar,AvgPricePerSqft,9185,INR/sqft,https://abc.com
2018,Q1,Chennai,Anna Nagar,TotalTransactions,535,transactions,https://abc.com
2018,Q2,Chennai,Anna Nagar,AvgPricePerSqft,9308,INR/sqft,https://abc.com
2018,Q2,Chennai,Anna Nagar,TotalTransactions,543,transactions,https://abc.com
2018,Q3,Chennai,Anna Nagar,AvgPricePerSqft,9430,INR/sqft,https://abc.com
2018,Q3,Chennai,Anna Nagar,TotalTransactions,551,transactions,https://abc.com
2018,Q4,Chennai,Anna Nagar,AvgPricePerSqft,9553,INR/sqft,https://abc.com
2018,Q4,Chennai,Anna Nagar,TotalTransactions,559,transactions,https://abc.com
2019,Q1,Chennai,Anna Nagar,AvgPricePerSqft,9676,INR/sqft,https://abc.com
2019,Q1,Chennai,Anna Nagar,TotalTransactions,567,transactions,https://abc.com
2019,Q2,Chennai,Anna Nagar,AvgPricePerSqft,9799,INR/sqft,https://abc.com
2019,Q2,Chennai,Anna Nagar,TotalTransactions,575,transactions,https://abc.com
2019,Q3,Chennai,Anna Nagar,AvgPricePerSqft,9922,INR/sqft,https://abc.com
2019,Q3,Chennai,Anna Nagar,TotalTransactions,583,transactions,https://abc.com
2019,Q4,Chennai,Anna Nagar,AvgPricePerSqft,10044,INR/sqft,https://abc.com
2019,Q4,Chennai,Anna Nagar,TotalTransactions,591,transactions,https://abc.com
2020,Q1,Chennai,Anna Nagar,AvgPricePerSqft,10167,INR/sqft,https://abc.com
2020,Q1,Chennai,Anna Nagar,TotalTransactions,598,transactions,https://abc.com
2020,Q2,Chennai,Anna Nagar,AvgPricePerSqft,10290,INR/sqft,https://abc.com
2020,Q2,Chennai,Anna Nagar,TotalTransactions,606,transactions,https://abc.com
2020,Q3,Chennai,Anna Nagar,AvgPricePerSqft,10413,INR/sqft,https://abc.com
2020,Q3,Chennai,Anna Nagar,TotalTransactions,614,transactions,https://abc.com
2020,Q4,Chennai,Anna Nagar,AvgPricePerSqft,10535,INR/sqft,https://abc.com
2020,Q4,Chennai,Anna Nagar,TotalTransactions,622,transactions,https://abc.com
2021,Q1,Chennai,Anna Nagar,AvgPricePerSqft,10658,INR/sqft,https://abc.com
2021,Q1,Chennai,Anna Nagar,TotalTransactions,630,transactions,https://abc.com
2021,Q2,Chennai,Anna Nagar,AvgPricePerSqft,10781,INR/sqft,https://abc.com
2021,Q2,Chennai,Anna Nagar,TotalTransactions,638,transactions,https://abc.com
2021,Q3,Chennai,Anna Nagar,AvgPricePerSqft,10904,INR/sqft,https://abc.com
2021,Q3,Chennai,Anna Nagar,TotalTransactions,646,transactions,https://abc.com
2021,Q4,Chennai,Anna Nagar,AvgPricePerSqft,11027,INR/sqft,https://abc.com
2021,Q4,Chennai,Anna Nagar,TotalTransactions,654,transactions,https://abc.com
2022,Q1,Chennai,Anna Nagar,AvgPricePerSqft,11149,INR/sqft,https://abc.com
2022,Q1,Chennai,Anna Nagar,TotalTransactions,662,transactions,https://abc.com
2022,Q2,Chennai,Anna Nagar,AvgPricePerSqft,11272,INR/sqft,https://abc.com
2022,Q2,Chennai,Anna Nagar,TotalTransactions,670,transactions,https://abc.com
2022,Q3,Chennai,Anna Nagar,AvgPricePerSqft,11395,INR/sqft,https://abc.com
2022,Q3,Chennai,Anna Nagar,TotalTransactions,678,transactions,https://abc.com
2022,Q4,Chennai,Anna Nagar,AvgPricePerSqft,11518,INR/sqft,https://abc.com
2022,Q4,Chennai,Anna Nagar,TotalTransactions,686,transactions,https://abc.com
2023,Q1,Chennai,Anna Nagar,AvgPricePerSqft,11641,INR/sqft,https://abc.com
2023,Q1,Chennai,Anna Nagar,TotalTransactions,694,transactions,https://abc.com
2023,Q2,Chennai,Anna Nagar,AvgPricePerSqft,11763,INR/sqft,https://abc.com
2023,Q2,Chennai,Anna Nagar,TotalTransactions,702,transactions,https://abc.com
2023,Q3,Chennai,Anna Nagar,AvgPricePerSqft,11886,INR/sqft,https://abc.com
2023,Q3,Chennai,Anna Nagar,TotalTransactions,710,transactions,https://abc.com
2023,Q4,Chennai,Anna Nagar,AvgPricePerSqft,12009,INR/sqft,https://abc.com
2023,Q4,Chennai,Anna Nagar,TotalTransactions,718,transactions,https://abc.com
2024,Q1,Chennai,Anna Nagar,AvgPricePerSqft,12132,INR/sqft,https://abc.com
2024,Q1,Chennai,Anna Nagar,TotalTransactions,726,transactions,https://abc.com
2024,Q2,Chennai,Anna Nagar,AvgPricePerSqft,12254,INR/sqft,https://abc.com
2024,Q2,Chennai,Anna Nagar,TotalTransactions,734,transactions,https://abc.com
2024,Q3,Chennai,Anna Nagar,AvgPricePerSqft,12377,INR/sqft,https://abc.com
2024,Q3,Chennai,Anna Nagar,TotalTransactions,742,transactions,https://abc.com
2024,Q4,Chennai,Anna Nagar,AvgPricePerSqft,12500,INR/sqft,https://abc.com
2024,Q4,Chennai,Anna Nagar,TotalTransactions,750,transactions,https://abc.com
2005,Q1,Chennai,T Nagar,AvgPricePerSqft,3000,INR/sqft,https://abc.com
2005,Q1,Chennai,T Nagar,TotalTransactions,140,transactions,https://abc.com
2005,Q2,Chennai,T Nagar,AvgPricePerSqft,3127,INR/sqft,https://abc.com
2005,Q2,Chennai,T Nagar,TotalTransactions,148,transactions,https://abc.com
2005,Q3,Chennai,T Nagar,AvgPricePerSqft,3253,INR/sqft,https://abc.com
2005,Q3,Chennai,T Nagar,TotalTransactions,156,transactions,https://abc.com
2005,Q4,Chennai,T Nagar,AvgPricePerSqft,3380,INR/sqft,https://abc.com
2005,Q4,Chennai,T Nagar,TotalTransactions,164,transactions,https://abc.com
2006,Q1,Chennai,T Nagar,AvgPricePerSqft,3506,INR/sqft,https://abc.com
2006,Q1,Chennai,T Nagar,TotalTransactions,172,transactions,https://abc.com
2006,Q2,Chennai,T Nagar,AvgPricePerSqft,3633,INR/sqft,https://abc.com
2006,Q2,Chennai,T Nagar,TotalTransactions,181,transactions,https://abc.com
2006,Q3,Chennai,T Nagar,AvgPricePerSqft,3759,INR/sqft,https://abc.com
2006,Q3,Chennai,T Nagar,TotalTransactions,189,transactions,https://abc.com
2006,Q4,Chennai,T Nagar,AvgPricePerSqft,3886,INR/sqft,https://abc.com
2006,Q4,Chennai,T Nagar,TotalTransactions,197,transactions,https://abc.com
2007,Q1,Chennai,T Nagar,AvgPricePerSqft,4013,INR/sqft,https://abc.com
2007,Q1,Chennai,T Nagar,TotalTransactions,205,transactions,https://abc.com
2007,Q2,Chennai,T Nagar,AvgPricePerSqft,4139,INR/sqft,https://abc.com
2007,Q2,Chennai,T Nagar,TotalTransactions,213,transactions,https://abc.com
2007,Q3,Chennai,T Nagar,AvgPricePerSqft,4266,INR/sqft,https://abc.com
2007,Q3,Chennai,T Nagar,TotalTransactions,221,transactions,https://abc.com
2007,Q4,Chennai,T Nagar,AvgPricePerSqft,4392,INR/sqft,https://abc.com
2007,Q4,Chennai,T Nagar,TotalTransactions,229,transactions,https://abc.com
2008,Q1,Chennai,T Nagar,AvgPricePerSqft,4519,INR/sqft,https://abc.com
2008,Q1,Chennai,T Nagar,TotalTransactions,237,transactions,https://abc.com
2008,Q2,Chennai,T Nagar,AvgPricePerSqft,4646,INR/sqft,https://abc.com
2008,Q2,Chennai,T Nagar,TotalTransactions,245,transactions,https://abc.com
2008,Q3,Chennai,T Nagar,AvgPricePerSqft,4772,INR/sqft,https://abc.com
2008,Q3,Chennai,T Nagar,TotalTransactions,253,transactions,https://abc.com
2008,Q4,Chennai,T Nagar,AvgPricePerSqft,4899,INR/sqft,https://abc.com
2008,Q4,Chennai,T Nagar,TotalTransactions,262,transactions,https://abc.com
2009,Q1,Chennai,T Nagar,AvgPricePerSqft,5025,INR/sqft,https://abc.com
2009,Q1,Chennai,T Nagar,TotalTransactions,270,transactions,https://abc.com
2009,Q2,Chennai,T Nagar,AvgPricePerSqft,5152,INR/sqft,https://abc.com
2009,Q2,Chennai,T Nagar,TotalTransactions,278,transactions,https://abc.com
2009,Q3,Chennai,T Nagar,AvgPricePerSqft,5278,INR/sqft,https://abc.com
2009,Q3,Chennai,T Nagar,TotalTransactions,286,transactions,https://abc.com
2009,Q4,Chennai,T Nagar,AvgPricePerSqft,5405,INR/sqft,https://abc.com
2009,Q4,Chennai,T Nagar,TotalTransactions,294,transactions,https://abc.com
2010,Q1,Chennai,T Nagar,AvgPricePerSqft,5532,INR/sqft,https://abc.com
2010,Q1,Chennai,T Nagar,TotalTransactions,302,transactions,https://abc.com
2010,Q2,Chennai,T Nagar,AvgPricePerSqft,5658,INR/sqft,https://abc.com
2010,Q2,Chennai,T Nagar,TotalTransactions,310,transactions,https://abc.com
2010,Q3,Chennai,T Nagar,AvgPricePerSqft,5785,INR/sqft,https://abc.com
2010,Q3,Chennai,T Nagar,TotalTransactions,318,transactions,https://abc.com
2010,Q4,Chennai,T Nagar,AvgPricePerSqft,5911,INR/sqft,https://abc.com
2010,Q4,Chennai,T Nagar,TotalTransactions,326,transactions,https://abc.com
2011,Q1,Chennai,T Nagar,AvgPricePerSqft,6038,INR/sqft,https://abc.com
2011,Q1,Chennai,T Nagar,TotalTransactions,334,transactions,https://abc.com
2011,Q2,Chennai,T Nagar,AvgPricePerSqft,6165,INR/sqft,https://abc.com
2011,Q2,Chennai,T Nagar,TotalTransactions,343,transactions,https://abc.com
2011,Q3,Chennai,T Nagar,AvgPricePerSqft,6291,INR/sqft,https://abc.com
2011,Q3,Chennai,T Nagar,TotalTransactions,351,transactions,https://abc.com
2011,Q4,Chennai,T Nagar,AvgPricePerSqft,6418,INR/sqft,https://abc.com
2011,Q4,Chennai,T Nagar,TotalTransactions,359,transactions,https://abc.com
2012,Q1,Chennai,T Nagar,AvgPricePerSqft,6544,INR/sqft,https://abc.com
2012,Q1,Chennai,T Nagar,TotalTransactions,367,transactions,https://abc.com
2012,Q2,Chennai,T Nagar,AvgPricePerSqft,6671,INR/sqft,https://abc.com
2012,Q2,Chennai,T Nagar,TotalTransactions,375,transactions,https://abc.com
2012,Q3,Chennai,T Nagar,AvgPricePerSqft,6797,INR/sqft,https://abc.com
2012,Q3,Chennai,T Nagar,TotalTransactions,383,transactions,https://abc.com
2012,Q4,Chennai,T Nagar,AvgPricePerSqft,6924,INR/sqft,https://abc.com
2012,Q4,Chennai,T Nagar,TotalTransactions,391,transactions,https://abc.com
2013,Q1,Chennai,T Nagar,AvgPricePerSqft,7051,INR/sqft,https://abc.com
2013,Q1,Chennai,T Nagar,TotalTransactions,399,transactions,https://abc.com
2013,Q2,Chennai,T Nagar,AvgPricePerSqft,7177,INR/sqft,https://abc.com
2013,Q2,Chennai,T Nagar,TotalTransactions,407,transactions,https://abc.com
2013,Q3,Chennai,T Nagar,AvgPricePerSqft,7304,INR/sqft,https://abc.com
2013,Q3,Chennai,T Nagar,TotalTransactions,415,transactions,https://abc.com
2013,Q4,Chennai,T Nagar,AvgPricePerSqft,7430,INR/sqft,https://abc.com
2013,Q4,Chennai,T Nagar,TotalTransactions,424,transactions,https://abc.com
2014,Q1,Chennai,T Nagar,AvgPricePerSqft,7557,INR/sqft,https://abc.com
2014,Q1,Chennai,T Nagar,TotalTransactions,432,transactions,https://abc.com
2014,Q2,Chennai,T Nagar,AvgPricePerSqft,7684,INR/sqft,https://abc.com
2014,Q2,Chennai,T Nagar,TotalTransactions,440,transactions,https://abc.com
2014,Q3,Chennai,T Nagar,AvgPricePerSqft,7810,INR/sqft,https://abc.com
2014,Q3,Chennai,T Nagar,TotalTransactions,448,transactions,https://abc.com
2014,Q4,Chennai,T Nagar,AvgPricePerSqft,7937,INR/sqft,https://abc.com
2014,Q4,Chennai,T Nagar,TotalTransactions,456,transactions,https://abc.com
2015,Q1,Chennai,T Nagar,AvgPricePerSqft,8063,INR/sqft,https://abc.com
2015,Q1,Chennai,T Nagar,TotalTransactions,464,transactions,https://abc.com
2015,Q2,Chennai,T Nagar,AvgPricePerSqft,8190,INR/sqft,https://abc.com
2015,Q2,Chennai,T Nagar,TotalTransactions,472,transactions,https://abc.com
2015,Q3,Chennai,T Nagar,AvgPricePerSqft,8316,INR/sqft,https://abc.com
2015,Q3,Chennai,T Nagar,TotalTransactions,480,transactions,https://abc.com
2015,Q4,Chennai,T Nagar,AvgPricePerSqft,8443,INR/sqft,https://abc.com
2015,Q4,Chennai,T Nagar,TotalTransactions,488,transactions,https://abc.com
2016,Q1,Chennai,T Nagar,AvgPricePerSqft,8570,INR/sqft,https://abc.com
2016,Q1,Chennai,T Nagar,TotalTransactions,496,transactions,https://abc.com
2016,Q2,Chennai,T Nagar,AvgPricePerSqft,8696,INR/sqft,https://abc.com
2016,Q2,Chennai,T Nagar,TotalTransactions,505,transactions,https://abc.com
2016,Q3,Chennai,T Nagar,AvgPricePerSqft,8823,INR/sqft,https://abc.com
2016,Q3,Chennai,T Nagar,TotalTransactions,513,transactions,https://abc.com
2016,Q4,Chennai,T Nagar,AvgPricePerSqft,8949,INR/sqft,https://abc.com
2016,Q4,Chennai,T Nagar,TotalTransactions,521,transactions,https://abc.com
2017,Q1,Chennai,T Nagar,AvgPricePerSqft,9076,INR/sqft,https://abc.com
2017,Q1,Chennai,T Nagar,TotalTransactions,529,transactions,https://abc.com
2017,Q2,Chennai,T Nagar,AvgPricePerSqft,9203,INR/sqft,https://abc.com
2017,Q2,Chennai,T Nagar,TotalTransactions,537,transactions,https://abc.com
2017,Q3,Chennai,T Nagar,AvgPricePerSqft,9329,INR/sqft,https://abc.com
2017,Q3,Chennai,T Nagar,TotalTransactions,545,transactions,https://abc.com
2017,Q4,Chennai,T Nagar,AvgPricePerSqft,9456,INR/sqft,https://abc.com
2017,Q4,Chennai,T Nagar,TotalTransactions,553,transactions,https://abc.com
2018,Q1,Chennai,T Nagar,AvgPricePerSqft,9582,INR/sqft,https://abc.com
2018,Q1,Chennai,T Nagar,TotalTransactions,561,transactions,https://abc.com
2018,Q2,Chennai,T Nagar,AvgPricePerSqft,9709,INR/sqft,https://abc.com
2018,Q2,Chennai,T Nagar,TotalTransactions,569,transactions,https://abc.com
2018,Q3,Chennai,T Nagar,AvgPricePerSqft,9835,INR/sqft,https://abc.com
2018,Q3,Chennai,T Nagar,TotalTransactions,577,transactions,https://abc.com
2018,Q4,Chennai,T Nagar,AvgPricePerSqft,9962,INR/sqft,https://abc.com
2018,Q4,Chennai,T Nagar,TotalTransactions,586,transactions,https://abc.com
2019,Q1,Chennai,T Nagar,AvgPricePerSqft,10089,INR/sqft,https://abc.com
2019,Q1,Chennai,T Nagar,TotalTransactions,594,transactions,https://abc.com
2019,Q2,Chennai,T Nagar,AvgPricePerSqft,10215,INR/sqft,https://abc.com
2019,Q2,Chennai,T Nagar,TotalTransactions,602,transactions,https://abc.com
2019,Q3,Chennai,T Nagar,AvgPricePerSqft,10342,INR/sqft,https://abc.com
2019,Q3,Chennai,T Nagar,TotalTransactions,610,transactions,https://abc.com
2019,Q4,Chennai,T Nagar,AvgPricePerSqft,10468,INR/sqft,https://abc.com
2019,Q4,Chennai,T Nagar,TotalTransactions,618,transactions,https://abc.com
2020,Q1,Chennai,T Nagar,AvgPricePerSqft,10595,INR/sqft,https://abc.com
2020,Q1,Chennai,T Nagar,TotalTransactions,626,transactions,https://abc.com
2020,Q2,Chennai,T Nagar,AvgPricePerSqft,10722,INR/sqft,https://abc.com
2020,Q2,Chennai,T Nagar,TotalTransactions,634,transactions,https://abc.com
2020,Q3,Chennai,T Nagar,AvgPricePerSqft,10848,INR/sqft,https://abc.com
2020,Q3,Chennai,T Nagar,TotalTransactions,642,transactions,https://abc.com
2020,Q4,Chennai,T Nagar,AvgPricePerSqft,10975,INR/sqft,https://abc.com
2020,Q4,Chennai,T Nagar,TotalTransactions,650,transactions,https://abc.com
2021,Q1,Chennai,T Nagar,AvgPricePerSqft,11101,INR/sqft,https://abc.com
2021,Q1,Chennai,T Nagar,TotalTransactions,658,transactions,https://abc.com
2021,Q2,Chennai,T Nagar,AvgPricePerSqft,11228,INR/sqft,https://abc.com
2021,Q2,Chennai,T Nagar,TotalTransactions,667,transactions,https://abc.com
2021,Q3,Chennai,T Nagar,AvgPricePerSqft,11354,INR/sqft,https://abc.com
2021,Q3,Chennai,T Nagar,TotalTransactions,675,transactions,https://abc.com
2021,Q4,Chennai,T Nagar,AvgPricePerSqft,11481,INR/sqft,https://abc.com
2021,Q4,Chennai,T Nagar,TotalTransactions,683,transactions,https://abc.com
2022,Q1,Chennai,T Nagar,AvgPricePerSqft,11608,INR/sqft,https://abc.com
2022,Q1,Chennai,T Nagar,TotalTransactions,691,transactions,https://abc.com
2022,Q2,Chennai,T Nagar,AvgPricePerSqft,11734,INR/sqft,https://abc.com
2022,Q2,Chennai,T Nagar,TotalTransactions,699,transactions,https://abc.com
2022,Q3,Chennai,T Nagar,AvgPricePerSqft,11861,INR/sqft,https://abc.com
2022,Q3,Chennai,T Nagar,TotalTransactions,707,transactions,https://abc.com
2022,Q4,Chennai,T Nagar,AvgPricePerSqft,11987,INR/sqft,https://abc.com
2022,Q4,Chennai,T Nagar,TotalTransactions,715,transactions,https://abc.com
2023,Q1,Chennai,T Nagar,AvgPricePerSqft,12114,INR/sqft,https://abc.com
2023,Q1,Chennai,T Nagar,TotalTransactions,723,transactions,https://abc.com
2023,Q2,Chennai,T Nagar,AvgPricePerSqft,12241,INR/sqft,https://abc.com
2023,Q2,Chennai,T Nagar,TotalTransactions,731,transactions,https://abc.com
2023,Q3,Chennai,T Nagar,AvgPricePerSqft,12367,INR/sqft,https://abc.com
2023,Q3,Chennai,T Nagar,TotalTransactions,739,transactions,https://abc.com
2023,Q4,Chennai,T Nagar,AvgPricePerSqft,12494,INR/sqft,https://abc.com
2023,Q4,Chennai,T Nagar,TotalTransactions,748,transactions,https://abc.com
2024,Q1,Chennai,T Nagar,AvgPricePerSqft,12620,INR/sqft,https://abc.com
2024,Q1,Chennai,T Nagar,TotalTransactions,756,transactions,https://abc.com
2024,Q2,Chennai,T Nagar,AvgPricePerSqft,12747,INR/sqft,https://abc.com
2024,Q2,Chennai,T Nagar,TotalTransactions,764,transactions,https://abc.com
2024,Q3,Chennai,T Nagar,AvgPricePerSqft,12873,INR/sqft,https://abc.com
2024,Q3,Chennai,T Nagar,TotalTransactions,772,transactions,https://abc.com
2024,Q4,Chennai,T Nagar,AvgPricePerSqft,13000,INR/sqft,https://abc.com
2024,Q4,Chennai,T Nagar,TotalTransactions,780,transactions,https://abc.com
